S.No.,Song,Artist,Sequence Number,Lyrics
1,Shiv Kailasho Ke Wasi,Ashish,1,"Shiv Kailashon Ke Waasi,
Dhauli Dhaaron Ke Raja,
Shankar Sankat Harna,
Shankar Sankat Harna,
Shiv Kailashon Ke Waasi,
Dhauli Dhaaron Ke Raja,
Shankar Sankat Harna,
Shankar Sankat Harna

Tere Kailaashon Ka Ant Na Paaya,
Tere Kailaashon Ka Ant Na Paaya,
Ant Beyant Teri Maaya, O Bhole Baba,
Ant Beyant Teri Maaya,
Shankar Sankat Harna,
Shankar Sankat Harna,
Shiv Kailashon Ke Waasi,
Dhauli Dhaaron Ke Raja,
Shankar Sankat Harna,
Shankar Sankat Harna

Bel Ki Pattiaan, Bhaang Dhatura,
Bel Ki Pattiaan, Bhaang Dhatura,
Shiv ji Ke Mann Ko Lubhaaye,
O Bhole Baba,
Shiv Ji Ke Mann Ko Lubhaaye..
Shankar Sankat Harna,
Shiv Kailashon Ke Waasi,
Dhauli Dhaaron Ke Raja,
Shankar Sankat Harna,
Shankar Sankat Harna

Ek Tha Dera Tera, Chambe de Chougaana,
Ek Tha Dera Tera, Chambe de Chougaana,
Dooja Laai Baitha Bharmora,
O Bhole Baba Dooja Laai Baitha Bharmora,
Shankar Sankat Harna,
Shiv Kailashon Ke Waasi,
Dhauli Dhaaron Ke Raja,
Shankar Sankat Harna,
Shankar Sankat Harna....
Shiv Kailashon Ke Waasi,
Dhauli Dhaaron Ke Raja,
Shankar Sankat Harna,
Shankar Sankat Harna.........!"
2,Rahgir Kachcha Ghada,Akash,2,"Ek kachha ghada hu main
Ek kachha ghada hu main
Fir bhi barsaat mein
Khada hu main

Boonde bereham hai
Unko yeh vehem hai
Ki main toot raha hu
Jo main cheekh raha hu…

Par wo bewakoof hai
Main to seekh raha hu
Aise pehle bhi lada hu main
Ek kachha ghada hu main

Hum wo hai jo kismat ke
Chanton ke shor pe nachte hai
Hum wo hai jo kismat ke
Chanton ke shor pe nachte hai
Jitni jor ka chanta
Hum utni jor se nachte hai

Ye jo khisak khisak ke
Main aage ja raha hu
Ye jo fisal fisal ke
Main piche aa raha hu

Ye jo pighal pighal ke
Main behta ja raha hu
Ye jo sisak sisak ke
Main aahe aa raha hu…

Niche hai khaiyaan
Aur main kaanp raha hu
Par zinda hu abhi
Abhi haf raha hu
Aise pehle bhi chadha hu main
Ek kachha ghada hu main

Ek to raahon mein babool bahut hai
Uske upar se apne usool bahut hai
Uske upar se log tokte rehte hai
Ke rahgir bhai udhar jao udhar phool bahut hai

Ye jo hans rahi hai duniya
Meri nakamiyon pe
Tane kas rahi hai duniya
Meri nadaniyon pe

Par main kaam kar raha hu
Meri sari khamiyon pe
Kal ye marenge taali
Meri kahaniyon pe

Kal jo badlegi hawa
Ye saale sharmayege
Humare apne ho kehke
Ye baahe garmaayenge

Kyonki ziddi bada hu main
Ek kacha ghada hu main
Fir bhi barsaat mein
Khada hu main

Boonde bereham hai
Unko ye vehem hai
Ki main toot raha hu
Jo main cheekh raha hu

Par wo bewakoof hai
Main to seekh raha hu
Aise pehle bhi lada hu main
Ek kacha ghada hu main…"
3,Agar Tum Saath ho,Kuhoo/Sakshi,3,"Lyrics
Pal bhar thahar jaao

Dil ye sambhal jaaye

Kaise tumhe roka karun

Meri taraf aata har gham phisal jaaye

Aankhon mein tum ko bharun

Bin bole baatein tumse karun

‘gar tum saath ho..

Agar tum saath ho

Behti rehti..

Nahar nadiya si teri duniya mein

Rs 1 Trial
Meri duniya hai teri chaahaton mein

Main dhal jaati hoon teri aadaton mein

‘gar tum saath ho

Teri nazron mein hai tere sapne

Tere sapno mein hai naraazi

Mujhe lagta hai ke baatein dil ki

Hoti lafzon ki dhokebaazi

Tum saath ho ya na ho kya fark hai

Bedard thi zindagi bedard hai

Agar tum saath ho

Agar tum saath ho

Palkein jhapakte hi din ye nikal jaaye

Bethi bethi bhaagi phirun

Meri taraf aata har gham phisal jaaye

Aankhon mein tum ko bharun

Bin bole baatein tumse karun

‘gar tum saath ho

Agar tum saath ho

Teri nazron mein hai tere sapne

Tere sapno mein hai naraazi

Mujhe lagta hai ke baatein dil ki

Hoti lafzon ki dhokebaazi

Tum saath ho ya na ho kya fark hai

Bedard thi zindagi bedard hai

Agar tum saath ho

Dil ye sambhal jaaye

(Agar tum saath ho)

Har gham phisal jaaye

(Agar tum saath ho)

Din ye nikal jaaye

(Agar tum saath ho)

Har gham phisal jaaye"
4,Mann Ki Lagan,Utkarsh,4,"[Original composition 'Mann Ki Lagan' by Utkarsh]
o laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

gali gali ghume dil tujhe dhundhe

gali gali ghume dil tujhe dhundhe

tere bin tarse nayan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

Rs 1 Trial
lagan laagi tum se man ki lagan

aa ja o meri jaan mere dil ka jahaan

maange teri khabar dhundhe tera nishaan

laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

gali gali ghume dil tujhe dhundhe

gali gali ghume dil tujhe dhundhe

tere bin tarse nayan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

tera tujhko saunp de kya laagat hai mor

mera mujhme kuchh naahi jo hovat so tor

tere bin mera man jaise ban me hiran

jaise pagli pawan

laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan

lagan laagi tum se man ki lagan"
5,Kali Kali Jhulfe,Darsh,5,"verse
Aap is tarah to hosh udaaya na kijiye
Aap is tarah to hosh udaaya na kijiye
Yun ban-sanwar ke samne aaya na kijiye
chorus
Kali-kali zulfon ke phande na daalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
Kali-kali zulfon ke...
Kali-kali zulfon ke phande na daalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
verse
Na chhedo humein, hum sataye huye hain
Na chhedo humein, hum sataye huye hain
Bahut zakhm seene pe khaye huye hain
Bahut zakhm seene pe khaye huye hain
Sitamagar ho tum, khoob pehchante hain
Sitamagar ho tum, khoob pehchante hain
Tumhari adao ko hum jaante hain
Tumhari adao ko hum jaante hain
Daghabaaz ho tum, sitam dhanewaale
Daghabaaz ho tum, sitam dhanewaale
Fareb-e-mohabbat mein ulajhanewaale
Fareb-e-mohabbat mein ulajhanewaale
Yeh rangi kahani tumhin ko mubarak
Yeh rangi kahani tumhin ko mubarak
Tumhari jawani tumhin ko mubarak
Tumhari jawani tumhin ko mubarak
pre-chorus
Humari taraf se nigahein hata lo
Humein zinda rehne do, ae husnwaalo
chorus
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do...
Kali-kali zulfon ke phande na daalo
verse
Sambhalo zara apna aanchal gulabi
Sambhalo zara apna aanchal gulabi
Dikhao na hans-hans ke aankhein sharabi
Dikhao na hans-hans ke aankhein sharabi
Sulook inka duniya mein achchha nahin hai
Sulook inka duniya mein achchha nahin hai
Haseeno pe humko bharosa nahin hai
Haseeno pe humko bharosa nahin hai
Uthate hain nazare to girti hai bijli
Uthate hain nazare to girti hai bijli
Ada jo bhi nikali, qayamat hi nikali
Ada jo bhi nikali, qayamat hi nikali
Jahan tumne chehre se aanchal hataya
Jahan tumne chehre se aanchal hataya
Wahin ae-haal-dil ko tamaasha banaya
Wahin ae-haal-dil ko tamaasha banaya
pre-chorus
Khuda ke liye hum pe dore na daalo
Humein zinda rehne do, ae husnwaalo
chorus
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo
outro
Kali-kali...
Kali-kali...
Kali-kali zulfon ke phande na daalo
Phande na daalo, phande na daalo
Kali-kali zulfon ke...
Kali-kali zulfon ke phande na daalo
Humein zinda rehne do, ae husnwaalo"
6,Do Din Ki Zindagi Hai (Kabir),Ashish,6,"[Musical interpretation of Kabir's philosophy by Ashish]

Iss kaya ka hai bhag bhag bin paya nahin jata,

Karm bina naseeb tod phal, khaya nahin jata.

Kahe satnaam jag ye, jhootha jhamela,

Kya lekar aya re bandeh, kya lekar jayega?

Do din ki zindagi hai, do din ka mela,

Iss jagat-saraye mein musafir rehna do din ka,

Kyun veertha kare guman moorakh is dhan aur jouvan ka !

Nahin bharosa pal ka, nahin bharosa pal ka,

Yunhi mar jayega.

Kya lekar aya re bandeh, kya lekar jayega?

"
7,Kive Mukhde To Nazra,Kuhoo/Sakshi,7,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
8,Saanson Ki Mala,Darsh,8,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
9,Aye Zindagi Gale Laga Le,Utkarsh,9,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
10,Tu jhoom,Akash,10,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
28,Moko Kahaan Dhoonde Re Bande,Ashish,11,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
12,Tere Bina Na Guzaara Ye ,Darsh,12,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
13,Ranjheya Ve,Kuhoo/Sakshi,13,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
14,Fakiri (Kabir),Ashish,14,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
15,Tu Hai Toh,Darsh,15,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
16,Pyar Hame Kis Mod Par Le Aaya,Utkarsh,16,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
17,Dhadak,Kuhoo/Sakshi,17,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
18,Laiyan Laiyan,Ashish,18,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
19,Teri Deewani,Darsh,19,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
20,Tum se hi,Kuhoo/Sakshi,20,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
21,Mera Pehla Pehla Pyar,Darsh,21,"Please add your original lyrics here\n\nVerse 1:\n[Your original lyrics]\n\nChorus:\n[Your original lyrics]"
